FirmName,Year,EquityBonds Revenue,EquityBonds Rank,EquityBonds Market Share,"EquityBonds Number ofIssues"
General Counsel,1984,22102.8,1,8.3,194
Cleary Gottlieb Steen & Hamilton,1984,8914.1,2,3.4,7
"Cadwalader, Wickersham & Taft",1984,7445.4,3,2.8,8
"Skadden, Arps, Slate, Meagher & Flom",1984,7373.1,4,2.8,10
"Paul, Weiss",1984,5677.3,5,2.1,7
Brown Wood Ivey Mitchell Petty,1984,4926,6,1.9,9
"Thacher, Jones, Casey & Ratcliff (CA)",1984,3985.2,7,1.5,3
"O'Connor, Cavanaugh, Anderson, Westover",1984,3887.4,8,1.5,11
Pillsbury Madison & Sutro,1984,2988.8,9,1.1,2
Honigman Miller Schwartz and Cohn (MI),1984,2718.6,10,1,9
Sullivan & Cromwell,1984,2610.1,11,1,6
"Cravath, Swaine & Moore",1984,1459.4,12,0.6,16
Simpson Thacher & Bartlett,1984,1447.1,13,0.5,10
O'Melveny & Myers,1984,1204.9,14,0.5,10
Thompson & Knight PC,1984,1151.4,15,0.4,4
Reid & Priest,1984,1132.4,16,0.4,9
Eckert Seamans Cherin & Mellot,1984,1116.6,17,0.4,9
"Rubin, Baum, Levin, Constant, Friedman & Bilzin",1984,1098.3,18,0.4,3
Baker & Botts,1984,1089.3,19,0.4,5
Latham & Watkins,1984,1050.8,20,0.4,10
McKenna & Co,1984,883.9,21,0.3,5
Brobeck Phleger & Hantson (CA),1984,866.9,22,0.3,11
Testa Hurwitz & Thibeault,1984,817.4,23,0.3,3
Winston & Strawn,1984,781.2,24,0.3,13
Milbank Tweed Hadley & McCloy,1984,773.3,25,0.3,5
"Kaye, Scholer, Fierman, Hays & Handler",1984,768.5,26,0.3,32
Gibson Dunn & Crutcher,1984,741.8,27,0.3,9
Drinker Biddle & Reath LLP,1984,739.7,28,0.3,6
Burke-B,1984,598.2,29,0.2,1
"Dewey, Ballantine, Bushby, Palmer & Wood",1984,549.8,30,0.2,8
Kirkland & Ellis,1984,507.8,31,0.2,6
Isham Lincoln & Beale,1984,424.8,32,0.2,2
Shearman & Sterling,1984,421.6,33,0.2,6
Sidley & Austin,1984,412.5,34,0.2,6
Vinson & Elkins LLP,1984,399.7,35,0.2,5
Weil Gotshal & Manges,1984,394.6,36,0.2,1
Debevoise & Plimpton,1984,361,37,0.1,2
Davis Polk & Wardwell,1984,349.1,38,0.1,2
Troutman Sanders LLP,1984,348.6,39,0.1,2
Hill Wynne Troop & Meisinger,1984,331.2,40,0.1,3
"Trotter, Smith & Jacobs (GA)",1984,300,41,0.1,1
"Huber, Lawrence & Abell",1984,299.4,42,0.1,2
Faegre & Benson,1984,297.3,43,0.1,5
Piper & Marbury,1984,289.5,44,0.1,16
Orrick Herrington & Sutcliffe LLP,1984,250.4,45,0.1,7
Chapman & Cutler,1984,250,46*,0.1,3
