FirmName,Year,IPO Revenue,IPO Rank,IPO Market Share,IPO Num of Issues
Lord Day & Lord,1984,131.6,1,4.2,1
Baker & Botts,1984,90,2,2.9,1
Stoel Rives Boley Jones & Grey,1984,85.8,3,2.8,2
Wilson Sonsini Goodrich & Rosati,1984,80.7,4,2.6,5
Winston & Strawn,1984,76.9,5,2.5,1
"Elias, Matz, Tiernan & Herrick",1984,72.7,6,2.3,6
Kirkpatrick & Lockhart LLP,1984,59.1,7,1.9,3
Debevoise & Plimpton,1984,52.3,8,1.7,1
"Muldoon, Murphy & Faucette",1984,51.1,9,1.7,5
General Counsel,1984,50.9,10*,1.6,8
Latham & Watkins,1984,50.9,10*,1.6,2
Robinson & Cole,1984,50.5,12,1.6,1
Hogan & Hartson,1984,50,13,1.6,3
Gaston Snow & Ely Bartlett,1984,44.5,14,1.4,2
Arnold & Porter,1984,40,15,1.3,1
Dorsey & Whitney LLP,1984,37.2,16,1.2,2
"Kaye, Scholer, Fierman, Hays & Handler",1984,36.4,17,1.2,1
"Memel, Jacobs & Ellsworth",1984,34.5,18,1.1,1
Jones Walker Waechter Poitevent Carrere & Denegre,1984,32,19,1,1
O'Melveny & Myers,1984,30.9,20,1,1
Heller Ehrman White & McAuliffe,1984,28.7,21,0.9,2
Reboul MacMurray Hewitt Maynard & Kristol,1984,27.9,22,0.9,2
Robert M. Rogers,1984,25.4,23,0.8,2
Goodwin Procter & Hoar,1984,25,24,0.8,1
Friedman & Koven (IL),1984,23.4,25,0.8,1
Kirkland & Ellis,1984,23.3,26,0.8,1
Coudert Brothers,1984,23.2,27,0.8,1
"Hall, Mcnicol, Hamilton & Clark",1984,23,28,0.7,1
Cahill Gordon & Reindel,1984,22.5,29,0.7,1
"Benesch, Friedlander, Coplan & Aronoff",1984,22.2,30,0.7,1
Wagner-W,1984,21.7,31,0.7,1
Cooley Godward Castro Huddleson & Tatum,1984,21.3,32*,0.7,2
Gardere & Wynne,1984,21.3,32*,0.7,2
"Calfee, Halter & Griswold (OH)",1984,20.9,34*,0.7,1
Briggs and Morgan (MN),1984,20.9,34*,0.7,1
Brobeck Phleger & Hantson (CA),1984,19,36*,0.6,2
Testa Hurwitz & Thibeault,1984,19,36*,0.6,1
Porter Wright Morris & Arthur,1984,18.3,38,0.6,1
Hale & Dorr LLP,1984,18.1,39,0.6,1
Lord Bissell & Brook,1984,17.8,40,0.6,1
"Windels Marx Lane & Mittendorf, LLP",1984,16.5,41,0.5,2
"Hopkins, Mitchell & Carley",1984,16.1,42*,0.5,1
"Rudin, Richman & Appel",1984,16.1,42*,0.5,1
Lansden,1984,15.4,44,0.5,1
Wiggin & Nourie,1984,14.8,45,0.5,1
Lawson Lundell Lawson & McIntosh,1984,14,46,0.5,1
Baker & Hostetler LLP,1984,13.9,47,0.5,2
"Hartman, Underhill & Brubaker (PA)",1984,13.8,48*,0.5,1
Quarles & Brady (WI),1984,13.8,48*,0.4,1
R.P. Wolf (SC),1984,13.5,50,0.4,1
"Bachner, Tally, Polevoy & Misher",1984,13.2,51,0.4,1
"Olwine, Connelly, Chase, O'Donnell",1984,13,52,0.4,1
"Choate, Hall & Stewart LLP",1984,12.8,53*,0.4,1
Ware & Freidenrich,1984,12.8,53*,0.4,1
Columbo,1984,12.7,55,0.4,1
Hansell & Post,1984,12.5,56,0.4,1
Piper & Marbury,1984,12.3,57,0.4,1
"Keating, Muething & Klekamp (FL)",1984,12.1,58,0.4,1
"Knudsen, Berkheimer, Richardson & Endacott",1984,11.5,59,0.4,1
"Fenwick, Davis & West",1984,11.1,60*,0.4,1
Reavis & McGrath,1984,11.1,60*,0.4,1
"Shook, Hardy & Bacon (MO)",1984,10,62,0.3,1
Kronish Lieb Weiner & Hellman,1984,9.9,63,0.3,1
Whitman & Ransom,1984,9.7,64,0.3,1
Housley Goldberg & Kantarian,1984,9.5,65,0.3,2
Not Available,1984,9.1,66,0.3,1
Gadsby & Hannah (MA),1984,9,67,0.3,1
Kindel & Anderson (CA),1984,8.8,68*,0.3,1
"Manatt, Phelps, Rothenberg & Phillips",1984,8.8,68*,0.3,2
Arnall Golden & Gregory,1984,8.6,70*,0.3,1
"Nixon, Yow, Waller & Capers (GA)",1984,8.6,70*,0.3,1
Sidley & Austin,1984,8.4,72,0.3,1
Matthews & Branscomb,1984,8.1,73,0.3,1
"Greenberg, Traurig, Askew",1984,8,74*,0.3,1
Hutchins & Wheeler,1984,8,74*,0.3,1
Sommer & Barnard,1984,7.7,76,0.3,1
"Riordan, Caps, Carbone & Mckinze",1984,7.5,77,0.2,1
"Freshman, Marantz, Orlanski, Cooper",1984,7.2,78*,0.2,1
"Schifino, Fleischer & Neal",1984,7.2,78*,0.2,1
Breslow & Walker,1984,6.8,80*,0.2,1
Rosenblum Parish & Bacigalupi,1984,6.8,80*,0.2,1
"Akin, Gump, Strauss, Hauer & Feld",1984,6.4,82,0.2,2
"Smith, Cohen, Ringel, Kohler & Martin",1984,6.3,83*,0.2,1
"Winstead, Sechrest & Minick",1984,6.3,83*,0.2,1
"Snow, Christensen & Martineau (UT)",1984,6.1,85,0.2,1
Sonnenschein Carlin Nath & Rosenthal,1984,6,86*,0.2,1
Towne Dolgin Sawyier & Horton,1984,6,86*,0.2,1
Fine & Ambrogne,1984,5.9,88,0.2,1
McGuire Woods Battle & Boothe,1984,5.7,89,0.2,1
Gibson Dunn & Crutcher,1984,5.6,90,0.2,1
"Grutman, Miller, Greenspoon & Hendler",1984,5.5,91*,0.2,1
Stroock & Stroock & Lavan,1984,5.5,91*,0.2,1
Graham & James,1984,5.4,93,0.2,1
Steptoe & Johnson Chartered (DC),1984,5.3,94,0.2,2
Vinson & Elkins LLP,1984,5.2,95,0.2,1
Arent Fox Kintner Plotkin & Kahn,1984,4.8,96*,0.2,1
Olshan Grundman Frome & Rosenzweig,1984,4.8,96*,0.2,1
"Spengler, Nathanson, Heyman, McCathy & Durfee",1984,4.8,96*,0.2,2
Rapaport & Cascone,1984,4.7,99*,0.2,1
Wiener Zuckerbrot Weiss,1984,4.7,99*,0.2,1
Mcdaniel-C,1984,4.7,99*,0.2,1
"Hall, Dickler, Lawler, Kent & Friedman",1984,4.6,102*,0.2,1
"Keck, Mahin & Cate (IL)",1984,4.6,102*,0.2,1
Hillis-P,1984,4.5,104*,0.2,1
McKenna & Co,1984,4.5,104*,0.1,1
Tolins & Lowenfels,1984,4.5,104*,0.1,1
Golenbock,1984,4.4,107,0.1,1
"Rifkind, Sterling & Levin",1984,4.3,108*,0.1,2
Ross-B,1984,4.3,108*,0.1,1
"Cantey, Hanger, Gooch, Munn & Collins",1984,4,110,0.1,1
"Blackwell, Walker, Gray, Powers, Flick",1984,3.8,111*,0.1,1
Smith and Schnacke,1984,3.8,111*,0.1,1
Seward & Kissel (NY),1984,3.8,111*,0.1,1
Fuerst,1984,3.7,114*,0.1,1
Oppenheimer-F,1984,3.7,114*,0.1,2
Bogle & Gates (WA),1984,3.6,116*,0.1,1
"Tenzer, Greenblatt, Fallon & Kaplan",1984,3.6,116*,0.1,1
Dreyer Traub,1984,3.5,118*,0.1,1
Gray Cary Ames & Frye,1984,3.5,118*,0.1,1
Parcel,1984,3.5,118*,0.1,1
Schmidt,1984,3.5,118*,0.1,1
Leff & Mason,1984,3.4,122,0.1,1
Brenman Epstein Rashkin & Friedlob,1984,3,123*,0.1,1
"Reinhart, Boerner, Van Deuren, Norris & Rieselbach",1984,3,123*,0.1,1
Kraft & Hughes (NJ),1984,3,123*,0.1,1
"Mazur, Raben, Breece, Frankel, Kaiser",1984,2.9,126,0.1,1
"Foulston, Siefkin, Powers & Elkouri (KS)",1984,2.8,127,0.1,1
Collins-D,1984,2.6,128,0.1,1
Gersten Savage Kaplowitz Zukerman & Liebman,1984,2.5,129*,0.1,1
Parker Chapin Flattau & Klimpl,1984,2.5,129*,0.1,1
Gusrae Kaplan & Bruno,1984,2.4,131*,0.1,1
Rudnick & Wolfe,1984,2.4,131*,0.1,1
"Arvey, Hodes,Costello & Burma",1984,2.3,133*,0.1,1
Mahoney Adams Milam Surface & Grimsley,1984,2.3,133*,0.1,1
Bressler-L,1984,2.2,135,0.1,1
Bressler-D,1984,2.1,136,0.1,1
"Cadwalader, Wickersham & Taft",1984,2,137*,0.1,1
Goldstein-S,1984,2,137*,0.1,1
"Rubin, Baum, Levin, Constant, Friedman & Bilzin",1984,2,137*,0.1,1
Black-H,1984,1.9,140*,0.1,1
Cohen-P,1984,1.9,140*,0.1,1
"Fox, Edwards, Gardiner & Brown",1984,1.8,142*,0.1,1
Mintz Levin Cohn Ferris Glovsky & Popeo,1984,1.8,142*,0.1,1
Ahlpern,1984,1.5,144,0.1,1
Jacobs-H,1984,1.4,145,0.1,1
Mcnees,1984,1.3,146,0,1
Schupak,1984,0.9,147,0,1
"Wofsey, Certilman, Haft, Lebow & Balin",1984,0.7,148,0,1
General Counsel,1985,930.5,1,11.2,9
Milbank Tweed Hadley & McCloy,1985,750,2,9,1
Andrews Kurth LLP,1985,482.8,3,5.8,5
"Paul, Weiss",1985,283.9,4,3.4,3
Thompson & Knight PC,1985,201.6,5,2.4,1
Latham & Watkins,1985,200.3,6,2.4,3
Shea & Gould,1985,198.6,7,2.4,4
Vinson & Elkins LLP,1985,189.8,8,2.3,1
Gibson Dunn & Crutcher,1985,161.3,9,1.9,7
Housley Goldberg & Kantarian,1985,143.5,10,1.7,4
McKenna & Co,1985,129.6,11,1.6,2
Honigman Miller Schwartz and Cohn (MI),1985,127,12,1.5,2
Brown Wood Ivey Mitchell Petty,1985,121.4,13,1.5,2
Munger Tolles & Olson,1985,120.1,14,1.4,1
Hughes & Luce LLP,1985,118,15,1.4,1
"Argue, Freston, Pearson, Harbi",1985,106.4,16,1.3,1
Ware & Freidenrich,1985,101.6,17,1.2,3
Hale & Dorr LLP,1985,90.8,18,1.1,2
"Nutter, McClennen & Fish (MA)",1985,84.7,19,1,2
