FirmName,Year,MnA Revenue,MnA Rank,MnA Market Share,Mna Num Of Deals
Fried Frank Harris Shriver & Jacobson,1984,11375.6,1,5.8,6
"Skadden, Arps, Slate, Meagher & Flom",1984,10192.3,2,5.2,23
Sullivan & Cromwell,1984,9606.2,3,4.9,7
Wachtell Lipton Rosen & Katz,1984,7407.4,4,3.8,7
"Paul, Weiss",1984,3114.8,5,1.6,2
Simon-D,1984,2828,6,1.4,2
Sidley & Austin,1984,1645.9,7,0.8,2
Jones Day Reavis & Pogue,1984,1164.2,8,0.6,4
Anderson-S,1984,1157,9,0.6,2
Latham & Watkins,1984,1009.7,10,0.5,4
Baker & Botts,1984,982.1,11,0.5,2
"Cravath, Swaine & Moore",1984,926,12,0.5,2
O'Melveny & Myers,1984,793.1,13,0.4,3
Weil Gotshal & Manges,1984,670.5,14,0.3,4
Debevoise & Plimpton,1984,579.1,15,0.3,2
"Kaye, Scholer, Fierman, Hays & Handler",1984,553.8,16,0.3,2
Gibson Dunn & Crutcher,1984,515.3,17,0.3,7
Cleary Gottlieb Steen & Hamilton,1984,511,18*,0.3,1
"Day, Berry & Howard",1984,511,18*,0.3,1
Shearman & Sterling,1984,511,18*,0.3,1
Davis Polk & Wardwell,1984,500,21,0.3,1
Schiff Hardin & Waite,1984,429.5,22,0.2,2
Cahill Gordon & Reindel,1984,330,23,0.2,2
"Vorys, Sater, Seymour & Pease",1984,320,24*,0.2,1
Richards Layton & Finger,1984,320,24*,0.2,1
Sachnoff Weaver & Rubenstein,1984,320,24*,0.2,1
Johnson & Swanson,1984,303.2,27,0.2,1
Parker Chapin Flattau & Klimpl,1984,277.1,28,0.1,2
Proskauer Rose Goetz & Mendelson,1984,270,29,0.1,1
Bowles Mcdavid Graff & Love,1984,257,30*,0.1,1
Breed Abbott & Morgan,1984,257,30*,0.1,1
Ropes & Gray,1984,254.9,32,0.1,7
"Lewis, D'Amato, Brisbors & Bisgaard",1984,241,33,0.1,2
Stinson Mag & Fizzell,1984,240,34,0.1,1
"Miro, Miro & Weiner",1984,229,35,0.1,1
"Thompson, Hine & Flory",1984,225.5,36,0.1,1
Troutman Sanders Lockerman & Ashmore,1984,225,37,0.1,1
Holme Roberts & Owen,1984,220.2,38,0.1,2
Sutherland Asbill & Brennan LLP,1984,216,39,0.1,1
Shea & Gould,1984,203.5,40,0.1,1
"Emens, Hurd, Kegler & Ritter",1984,196.9,41,0.1,1
